"AllY1","AllY2","AllY3","pop.never.s1","pop.never.s2","sace.diff1","sace.diff2","ace.diff1","ace.diff2","ci1.L","ci1.H","ci2.L","ci2.H","ace.or1","ace.or2","sace.or1","sace.or2","betaE","betaU"
49394,140,466,0.9941,0.98218,6.10885988311715e-05,-0.000201187003319586,-0.000323466928503768,0.000869724842636767,-0.447379787366962,0.217215027735083,-0.0884223620778062,0.27687855000867,0.89145863671225,1.0985651886757,0.904996224522524,1.10355893294753,1,2
49426,152,422,0.99438,0.9835,-0.000305033045246568,0.000864860516100485,-0.000180904996267789,0.00105889478485054,-0.377772607487252,0.259332176738991,-0.0657211754257906,0.318387482399564,0.942519178544023,1.13466947341526,0.954085384555691,1.14099453889305,1,2
49387,152,461,0.99348,0.98254,0.000264620269912675,-0.000442887627330193,0.000241614025830705,-0.000436889073175661,-0.239657792456838,0.397720527269367,-0.231154810445164,0.135793411048097,1.08223560667462,0.953428440229064,1.04234743893473,0.969342404298121,1,2
49405,151,444,0.99392,0.98296,-0.000406934158053227,0.000160978750804894,-0.000539665110341387,0.00011081315721768,-0.498758322302589,0.142600312284922,-0.174323717454714,0.199429315724588,0.836877320125644,1.01263258340368,0.822447328620168,1.00834054366516,1,2
49430,168,402,0.99428,0.98394,-0.000101632213346342,0.000362071046385324,-0.000200367513240712,6.53526918133446e-05,-0.362845024107537,0.243178468944115,-0.188167623816714,0.204464478297084,0.942365619562574,1.0082006977769,0.952738961645952,1.00332833522451,1,2
49431,160,409,0.99362,0.98362,0.00036599499806836,-0.000543467321511242,0.00069072448694658,-0.00222811252877505,-0.09652406671419,0.527402154832834,-0.472439126950093,-0.0790946164113628,1.24040634610072,0.7589898970896,1.23914313623458,0.768820441906801,1,2
49445,146,409,0.99352,0.98386,-0.000203280954607363,0.000523391577421693,-5.91696313696832e-05,0.000496586235784065,-0.345092124441552,0.304768044681907,-0.133658916801706,0.255743788952512,0.980043251142995,1.06294473218608,1.00666857587039,1.0483738863659,1,2
49441,180,379,0.99282,0.98382,-0.000243947063487223,0.000161157108035696,-6.5259471812634e-05,0.00134614946852926,-0.310685460858485,0.274948339338569,-0.0241554780359915,0.381733452758418,0.982105494327311,1.19572316663375,0.972097209720972,1.18456466763006,1,2
49421,156,423,0.99342,0.98336,0.000284738041002278,0.000724768979887661,0.000238620449133729,0.000589619391067955,-0.238475511573925,0.390681656695472,-0.121429878073088,0.261630697290519,1.07908256138506,1.07261746978634,1.09276484051222,1.07754797002709,1,2
49408,164,428,0.99372,0.9834,0.000101688021151108,-0.00046290705631365,-0.000472399935762359,-0.000849122772173065,-0.450956609628414,0.163901573825637,-0.29036753213295,0.0907306776358741,0.866297369216367,0.905002117174338,0.866460666015095,0.903911789300087,1,2
