"AllY1","AllY2","AllY3","ace.or1","ace.or2","ace.cond.or1","ace.cond.or2","betaE1","betaE2","betaU1","betaU2"
48956,251,793,2.20118387500676,2.71796803949591,0.938526828175001,1.18373835433082,1,1.25,2,2
48964,242,794,2.1387718970218,2.29291569327857,0.925380796649294,0.990024824294366,1,1.25,2,2
48987,237,776,2.33921671754256,2.78743027041435,1.02754690829156,1.2026251235582,1,1.25,2,2
48975,237,788,1.83884241809645,2.40474721679869,0.917189104425919,0.993807978915468,1,1.25,2,2
48976,236,788,1.86670541787434,2.75137047162833,0.809564343993729,1.31617433625333,1,1.25,2,2
48960,223,817,2.04785597610959,2.88404608842028,0.945200935014517,1.30365688644472,1,1.25,2,2
49002,229,769,2.30354165862356,2.86692025427166,0.98644192613184,1.28750336709138,1,1.25,2,2
48968,251,781,2.07923426265609,3.02465328089422,0.959376023431981,1.30906254215675,1,1.25,2,2
48977,223,800,1.67249295234967,2.53565383612574,0.689854003429035,1.13849544927937,1,1.25,2,2
48960,270,770,1.90879252423061,2.79116682658346,0.867172899230092,1.28957027116291,1,1.25,2,2
48958,242,800,2.41476385904993,3.49760141924398,1.22174283279469,1.58038633832668,1,1.25,2,2
49014,244,742,2.00873594319448,2.545664627808,0.965194158239015,1.1318894958253,1,1.25,2,2
49018,239,743,1.9891972129257,2.52085387958871,0.731749746334236,1.12704577636197,1,1.25,2,2
48931,245,824,1.62003215681206,2.62033021575229,0.782246139343462,1.11630581322507,1,1.25,2,2
49006,217,777,2.28048905696012,2.97868727227791,0.981295101609283,1.36017429839212,1,1.25,2,2
48990,257,753,2.38897969153165,2.5598167673568,1.01059836438958,1.18402493441643,1,1.25,2,2
48987,241,772,2.23430634178358,2.46961033367322,0.952856008855448,1.18132863436438,1,1.25,2,2
48987,217,796,2.0598764412511,2.51706401001093,0.887303348441199,1.17517759737357,1,1.25,2,2
48954,276,770,2.0303006771864,2.56313976893667,0.881650048981307,1.09769230669889,1,1.25,2,2
49010,240,750,2.28892558153008,2.44241075109242,1.00034632655756,1.15840297473676,1,1.25,2,2
48965,243,792,2.14242800813278,2.58418915224756,0.941799225489937,1.21731895816183,1,1.25,2,2
48961,261,778,2.28992931410019,2.53486774902137,0.983643513849417,1.24050565973247,1,1.25,2,2
49003,252,745,2.10536267600703,2.4203821822029,0.953865104482154,1.0898863644459,1,1.25,2,2
48961,240,799,2.04853847107951,2.96788256541763,0.882325752418586,1.40566012033498,1,1.25,2,2
48956,275,769,1.88151239143526,3.03895962099797,0.833256108495508,1.45703355697503,1,1.25,2,2
48980,247,773,2.66081089934897,2.5600103649749,1.1413817318053,1.13916518177238,1,1.25,2,2
48984,243,773,1.9202582661622,3.1346773653074,0.797135598363799,1.538703416098,1,1.25,2,2
48958,241,801,1.55334614269142,2.66559674549749,0.680998566432611,1.29136096095094,1,1.25,2,2
48998,238,764,2.16489993959352,2.8256694236621,1.01115761132664,1.23384768638679,1,1.25,2,2
49041,237,722,2.07097497198356,2.47447479046862,0.897928578270209,1.0837620667942,1,1.25,2,2
48976,246,778,2.95839417204402,2.79098189150118,1.40085990592655,1.35757468048761,1,1.25,2,2
49004,240,756,2.28139003200732,3.04617419046431,1.06044856565383,1.40527517531145,1,1.25,2,2
48938,254,808,2.52279161332331,2.6691726543362,1.13508352576281,1.19474648505806,1,1.25,2,2
